"Tarih","PM10","SO2","CO","NO2","NOX","NO"
"1/1/2020","","2.8230195","337.69578791667","27.783949416667","50.3939925","22.610042708333"
"12/31/2019","","6.6386117916667","747.6333","35.554793333333","81.399611833333","45.844821875"
"12/30/2019","","13.62001475","1331.4520166667","42.80059125","123.94281745833","81.142229166667"
"12/29/2019","","8.0921620833333","909.31715833333","31.920634166667","60.873648125","28.95301275"
"12/28/2019","39.366832083333","8.683024375","984.43359166667","38.692772916667","84.472085208333","45.779312291667"
"12/27/2019","24.02033875","6.2668705833333","584.95086666667","33.569889166667","76.285720166667","42.715832333333"
"12/26/2019","36.752200909091","5.9417172083333","881.1419375","30.309895","78.417795125","48.107896333333"
"12/25/2019","18.961579045455","5.7618782916667","635.6014375","21.84720825","54.755375666667","32.90816725"
"12/24/2019","","9.45678775","1159.9642625","39.51454","87.494701958333","47.980160416667"
"12/23/2019","","24.415039166667","1094.0804291667","47.565658333333","110.181459","62.615801375"
"12/22/2019","","39.446744583333","1124.5768291667","39.6905225","74.7696595","35.0791375"
"12/21/2019","","40.900436666667","1678.8032875","49.554629583333","136.95647083333","87.401840416667"
"12/20/2019","","23.553362916667","1792.9196541667","43.573963333333","132.75145470833","89.177492083333"
"12/19/2019","","46.177903333333","1685.4442875","49.337357916667","134.38925429167","85.05189875"
"12/18/2019","","58.95420125","1987.7715","57.646152916667","168.583987375","110.93782995833"
"12/17/2019","","48.255345833333","1783.6826625","53.7115975","136.12199775","82.4103945"
"12/16/2019","87.658992916667","27.878596666667","1619.8105458333","44.538520416667","131.81953079167","87.281009666667"
"12/15/2019","54.025670416667","21.241235166667","1131.1666666667","39.00724625","76.102233125","37.094986166667"
"12/14/2019","78.1727505","44.40623","1854.4411083333","50.5296775","141.56382475","91.03414625"
"12/13/2019","128.31684130435","33.707683333333","2293.140175","45.329754583333","174.28901045833","128.95926416667"
"12/12/2019","","55.126227916667","2807.4472083333","51.611158333333","186.869698","135.25854"
"12/11/2019","99.668582608696","49.654516666667","1766.7582666667","50.505402916667","136.63325375","86.127854208333"
"12/10/2019","89.227109166667","33.46890125","1564.310875","49.044154583333","138.43777745833","89.393624166667"
"12/9/2019","70.812155416667","26.848144583333","1745.2091625","48.97128","134.419825625","85.4485495"
"12/8/2019","71.548357916667","30.270000416667","1176.1443791667","40.4665575","77.105835416667","36.639279041667"
"12/7/2019","95.066301666667","34.60736125","1676.139325","45.082827083333","124.17828566667","79.09546575"
"12/6/2019","82.457205416667","37.31872875","1309.2663041667","44.296747916667","129.97645683333","85.679710375"
"12/5/2019","31.887554541667","22.609927458333","917.18849166667","39.754226666667","83.921351208333","44.167125708333"
"12/4/2019","13.8369225","11.811585291667","614.85405416667","42.874909583333","77.240124625","34.36521625"
"12/3/2019","53.721374583333","20.700626666667","977.28789166667","39.462759166667","84.395159958333","44.9324005"
"12/2/2019","45.00907475","15.00246325","1018.571275","41.088195833333","95.923175166667","54.834979583333"
"12/1/2019","14.949993391304","5.7780769583333","360.8808375","19.509650166667","32.54989775","13.040248541667"
"11/30/2019","54.340759083333","16.04892175","1244.1940541667","52.2278425","124.03798458333","71.810146166667"
"11/29/2019","39.07440375","17.125368875","612.31699583333","37.066555","62.803483625","25.736927916667"
"11/28/2019","81.4931175","19.688405375","1525.8425125","49.010912916667","135.28793508333","86.27701625"
"11/27/2019","61.541603333333","12.434103958333","1178.3350666667","50.109769166667","113.19799320833","63.0882225"
"11/26/2019","92.761269583333","27.714563333333","1571.2128625","57.717663333333","122.82905566667","65.11139375"
"11/25/2019","112.53773083333","37.572460416667","1889.1363458333","54.68029375","154.54303008333","99.862735"
"11/24/2019","96.933478333333","20.108784583333","1464.1273166667","46.517995416667","99.1349885","52.616992583333"
"11/23/2019","84.287772083333","19.064292916667","1383.5605208333","45.822597083333","96.974576583333","51.15198125"
"11/22/2019","72.6435125","32.809440833333","1291.9904","51.060821666667","122.82679491667","71.765970416667"
"11/21/2019","78.500535416667","29.15392875","1335.0113375","54.345845416667","125.91349779167","71.567654916667"
"11/20/2019","86.191867916667","24.108662916667","1361.9658333333","56.274095416667","131.47236954167","75.19827825"
"11/19/2019","87.238107916667","28.656852916667","1275.9990708333","57.682287083333","126.41109929167","68.728813208333"
"11/18/2019","96.756492916667","26.59244875","1575.3030625","59.19493125","142.43871145833","83.243782083333"
"11/17/2019","66.465211666667","12.644899083333","1237.5398583333","40.278006666667","78.67565525","38.397650041667"
"11/16/2019","63.38466375","14.34169725","979.0654","49.748062916667","99.763382583333","50.015320458333"
"11/15/2019","82.945009583333","16.692715","1361.8623625","57.682224583333","133.25648008333","75.574258375"
"11/14/2019","76.238045416667","18.5671395","1061.9411833333","59.32685625","116.63228533333","57.305430166667"
"11/13/2019","80.348810833333","17.463661416667","1038.1713625","61.0467025","132.60928641667","71.562581833333"
"11/12/2019","82.7499625","18.141997958333","1187.1839125","","",""
"11/11/2019","74.76233","22.68793","1053.9773416667","","",""
"11/10/2019","68.026884583333","21.596369583333","890.10455","57.69203375","95.747779541667","38.055746916667"
"11/9/2019","64.925454583333","17.98434625","869.42364583333","62.367146666667","122.316611","59.949458666667"
"11/8/2019","61.70048","16.759004208333","856.292175","56.129516666667","110.36690208333","54.237388791667"
"11/7/2019","71.474699166667","15.719974541667","1038.6857875","56.912051666667","125.95684804167","69.044798458333"
"11/6/2019","61.738693333333","14.301250958333","828.8589375","50.710395416667","109.119471875","58.40907875"
"11/5/2019","64.11986125","14.308226708333","1110.8003208333","52.668762916667","120.88558395833","68.21682125"
